PlayerName,OVR,Position,PositionGroup,Tier,Nationality,Club,Photo,Age,Potential,ValueEUR,WageEUR,Pace,Shooting,Passing,Dribbling,Defending,Physic,PreferredFoot,WeakFoot,SkillMoves,WorkRate
Diogo Jota,85,"CF, LW",ATT,Tier 3 (Top Tier),Portugal,Liverpool,https://cdn.sofifa.net/players/224/458/24_120.png,26,87,67500000,180000,82,82,75,85,57,77,Right,5,4,High/High
Marco Asensio,85,"LW, CAM, RW",ATT,Tier 3 (Top Tier),Spain,Real Madrid,https://cdn.sofifa.net/players/220/834/24_120.png,22,93,56500000,200000,81,84,83,85,43,60,Left,3,4,Medium/Medium
M. Depay,85,"CF, ST, LW",ATT,Tier 3 (Top Tier),Netherlands,FC Barcelona,https://cdn.sofifa.net/players/202/556/24_120.png,28,85,55000000,230000,83,84,82,86,30,79,Right,3,5,High/Low
E. Džeko,85,ST,ATT,Tier 3 (Top Tier),Bosnia and Herzegovina,Roma,https://cdn.sofifa.net/players/180/930/24_120.png,32,85,30500000,110000,66,85,71,75,46,73,Right,4,2,Medium/Medium
Kylian Mbappe,91,ST,ATT,Tier 1 (World Class),France,Paris Saint-Germain,https://example.com/mbappe.png,,,,,,,,,,,,,,
Lionel Messi,90,RW,ATT,Tier 1 (World Class),Argentina,Inter Miami,https://example.com/messi.png,,,,,,,,,,,,,,
Virgil van Dijk,89,CB,DEF,Tier 2 (Elite),Netherlands,Liverpool,https://example.com/vandijk.png,,,,,,,,,,,,,,
Rodri,89,CDM,MID,Tier 2 (Elite),Spain,Manchester City,https://example.com/rodri.png,,,,,,,,,,,,,,
Mohamed Salah,89,RW,ATT,Tier 2 (Elite),Egypt,Liverpool,https://example.com/salah.png,,,,,,,,,,,,,,
L. Yashin,92,GK,GK,Tier 1 (World Class),Russia,Icons,https://example.com/lyashin.png,,,,,,,,,,,,,,
M. van Basten,91,ST,ATT,Tier 1 (World Class),Netherlands,Icons,https://example.com/mvanbasten.png,,,,,,,,,,,,,,
Cafu,91,RWB,DEF,Tier 1 (World Class),Brazil,Icons,https://example.com/cafu.png,,,,,,,,,,,,,,
R. Baggio,91,CAM,MID,Tier 1 (World Class),Italy,Icons,https://example.com/rbaggio.png,,,,,,,,,,,,,,
D. Bergkamp,90,CF,ATT,Tier 1 (World Class),Netherlands,Icons,https://example.com/dbergkamp.png,,,,,,,,,,,,,,
Rivaldo,90,LW,ATT,Tier 1 (World Class),Brazil,Icons,https://example.com/rivaldo.png,,,,,,,,,,,,,,
K. Dalglish,89,ST,ATT,Tier 2 (Elite),Scotland,Icons,https://example.com/kdalglish.png,,,,,,,,,,,,,,
Lúcio,89,CB,DEF,Tier 2 (Elite),Brazil,Heroes,https://example.com/lucio.png,,,,,,,,,,,,,,
M. Desailly,88,CB,DEF,Tier 2 (Elite),France,Icons,https://example.com/mdesailly.png,,,,,,,,,,,,,,
P. Vieira,88,CM,MID,Tier 2 (Elite),France,Icons,https://example.com/pvieira.png,,,,,,,,,,,,,,
M. Laudrup,88,CAM,MID,Tier 2 (Elite),Denmark,Icons,https://example.com/mlaudrup.png,,,,,,,,,,,,,,
M. Gomez,88,ST,ATT,Tier 2 (Elite),Germany,Heroes,https://example.com/mgomez.png,,,,,,,,,,,,,,
I. Wright,87,ST,ATT,Tier 2 (Elite),England,Icons,https://example.com/iwright.png,,,,,,,,,,,,,,
D. Berbatov,87,ST,ATT,Tier 2 (Elite),Bulgaria,Heroes,https://example.com/dberbatov.png,,,,,,,,,,,,,,
E. Cantona,89,CF,ATT,Tier 2 (Elite),France,Icons,https://example.com/ecantona.png,,,,,,,,,,,,,,
P. Lahm,89,RB,DEF,Tier 2 (Elite),Germany,Icons,https://example.com/plahm.png,,,,,,,,,,,,,,
Jairzinho,89,RW,ATT,Tier 2 (Elite),Brazil,Icons,https://example.com/jairzinho.png,,,,,,,,,,,,,,
Sócrates,89,CAM,MID,Tier 2 (Elite),Brazil,Icons,https://example.com/socrates.png,,,,,,,,,,,,,,
E. van der Sar,88,GK,GK,Tier 2 (Elite),Netherlands,Icons,https://example.com/evandersar.png,,,,,,,,,,,,,,
P. Scholes,88,CM,MID,Tier 2 (Elite),England,Icons,https://example.com/pscholes.png,,,,,,,,,,,,,,
C. Tévez,88,ST,ATT,Tier 2 (Elite),Argentina,Heroes,https://example.com/ctevez.png,,,,,,,,,,,,,,
W. Sneijder,88,CAM,MID,Tier 2 (Elite),Netherlands,Heroes,https://example.com/wsneijder.png,,,,,,,,,,,,,,
R. van Persie,88,ST,ATT,Tier 2 (Elite),Netherlands,Icons,https://example.com/rvanpersie.png,,,,,,,,,,,,,,
J. Barnes,87,LW,ATT,Tier 2 (Elite),England,Icons,https://example.com/jbarnes.png,,,,,,,,,,,,,,
F. Torres,87,ST,ATT,Tier 2 (Elite),Spain,Icons,https://example.com/ftorres.png,,,,,,,,,,,,,,
C. Makélélé,87,CDM,MID,Tier 2 (Elite),France,Icons,https://example.com/cmakelele.png,,,,,,,,,,,,,,
D. Trezeguet,87,ST,ATT,Tier 2 (Elite),France,Icons,https://example.com/dtrezeguet.png,,,,,,,,,,,,,,
M. Ballack,87,CM,MID,Tier 2 (Elite),Germany,Icons,https://example.com/mballack.png,,,,,,,,,,,,,,
D. Maradona,95,CAM,MID,Tier 1 (World Class),Argentina,Icons,https://example.com/dmaradona.png,,,,,,,,,,,,,,
Romário,90,ST,ATT,Tier 1 (World Class),Brazil,Icons,https://example.com/romario.png,,,,,,,,,,,,,,
R. Giggs,89,LM,MID,Tier 2 (Elite),Wales,Icons,https://example.com/rgiggs.png,,,,,,,,,,,,,,
B. Charlton,92,CAM,MID,Tier 1 (World Class),England,Icons,https://example.com/bcharlton.png,,,,,,,,,,,,,,
F. Baresi,91,CB,DEF,Tier 1 (World Class),Italy,Icons,https://example.com/fbaresi.png,,,,,,,,,,,,,,
Xavi,90,CM,MID,Tier 1 (World Class),Spain,Icons,https://example.com/xavi.png,,,,,,,,,,,,,,
I. Casillas,90,GK,GK,Tier 1 (World Class),Spain,Icons,https://example.com/icasillas.png,,,,,,,,,,,,,,
D. Ginola,89,LM,MID,Tier 2 (Elite),France,Heroes,https://example.com/dginola.png,,,,,,,,,,,,,,
G. Müller,92,ST,ATT,Tier 1 (World Class),Germany,Icons,https://example.com/gmuller.png,,,,,,,,,,,,,,
F. Puskás,92,CF,ATT,Tier 1 (World Class),Hungary,Icons,https://example.com/fpuskas.png,,,,,,,,,,,,,,
Garrincha,92,RW,ATT,Tier 1 (World Class),Brazil,Icons,https://example.com/garrincha.png,,,,,,,,,,,,,,
T. Henry,91,ST,ATT,Tier 1 (World Class),France,Icons,https://example.com/thenry.png,,,,,,,,,,,,,,
Zico,91,CAM,MID,Tier 1 (World Class),Brazil,Icons,https://example.com/zico.png,,,,,,,,,,,,,,
A. Del Piero,90,CF,ATT,Tier 1 (World Class),Italy,Icons,https://example.com/adelpiero.png,,,,,,,,,,,,,,
Raúl,90,CF,ATT,Tier 1 (World Class),Spain,Icons,https://example.com/raul.png,,,,,,,,,,,,,,
G. Lineker,89,ST,ATT,Tier 2 (Elite),England,Icons,https://example.com/glineker.png,,,,,,,,,,,,,,
H. Stoichkov,89,ST,ATT,Tier 2 (Elite),Bulgaria,Icons,https://example.com/hstoichkov.png,,,,,,,,,,,,,,
L. Blanc,88,CB,DEF,Tier 2 (Elite),France,Icons,https://example.com/lblanc.png,,,,,,,,,,,,,,
W. Rooney,88,ST,ATT,Tier 2 (Elite),England,Icons,https://example.com/wrooney.png,,,,,,,,,,,,,,
P. Nedvěd,88,LM,MID,Tier 2 (Elite),Czech Republic,Icons,https://example.com/pnedved.png,,,,,,,,,,,,,,
B. Lizarazu,88,LWB,DEF,Tier 2 (Elite),France,Heroes,https://example.com/blizarazu.png,,,,,,,,,,,,,,
D. Beckham,88,RM,MID,Tier 2 (Elite),England,Icons,https://example.com/dbeckham.png,,,,,,,,,,,,,,
R. Koeman,88,CB,DEF,Tier 2 (Elite),Netherlands,Icons,https://example.com/rkoeman.png,,,,,,,,,,,,,,
B. Schweinsteiger,88,CM,MID,Tier 2 (Elite),Germany,Icons,https://example.com/bschweinsteiger.png,,,,,,,,,,,,,,
P. Čech,88,GK,GK,Tier 2 (Elite),Czech Republic,Icons,https://example.com/pcech.png,,,,,,,,,,,,,,
J. Riquelme,88,CAM,MID,Tier 2 (Elite),Argentina,Icons,https://example.com/jriquelme.png,,,,,,,,,,,,,,
Y. Touré,87,CDM,MID,Tier 2 (Elite),Ivory Coast,Heroes,https://example.com/ytoure.png,,,,,,,,,,,,,,
P. Maldini,92,CB,DEF,Tier 1 (World Class),Italy,Icons,https://example.com/pmaldini.png,,,,,,,,,,,,,,
Eusébio,91,CF,ATT,Tier 1 (World Class),Portugal,Icons,https://example.com/eusebio.png,,,,,,,,,,,,,,
L. Matthäus,90,CM,MID,Tier 1 (World Class),Germany,Icons,https://example.com/lmatthaus.png,,,,,,,,,,,,,,
R. Gullit,90,CF,ATT,Tier 1 (World Class),Netherlands,Icons,https://example.com/rgullit.png,,,,,,,,,,,,,,
G. Best,90,RW,ATT,Tier 1 (World Class),Northern Ireland,Icons,https://example.com/gbest.png,,,,,,,,,,,,,,
P. Schmeichel,89,GK,GK,Tier 2 (Elite),Denmark,Icons,https://example.com/pschmeichel.png,,,,,,,,,,,,,,
A. Shearer,89,ST,ATT,Tier 2 (Elite),England,Icons,https://example.com/ashearer.png,,,,,,,,,,,,,,
R. Völler,89,ST,ATT,Tier 2 (Elite),Germany,Heroes,https://example.com/rvoller.png,,,,,,,,,,,,,,
D. Drogba,89,ST,ATT,Tier 2 (Elite),Ivory Coast,Icons,https://example.com/ddrogba.png,,,,,,,,,,,,,,
R. van Nistelrooy,89,ST,ATT,Tier 2 (Elite),Netherlands,Icons,https://example.com/rvannistelrooy.png,,,,,,,,,,,,,,
J. Zanetti,89,RB,DEF,Tier 2 (Elite),Argentina,Icons,https://example.com/jzanetti.png,,,,,,,,,,,,,,
F. Hierro,88,CB,DEF,Tier 2 (Elite),Spain,Icons,https://example.com/fhierro.png,,,,,,,,,,,,,,
R. Carvalho,88,CB,DEF,Tier 2 (Elite),Portugal,Heroes,https://example.com/rcarvalho.png,,,,,,,,,,,,,,
P. Kluivert,87,ST,ATT,Tier 2 (Elite),Netherlands,Icons,https://example.com/pkluivert.png,,,,,,,,,,,,,,
F. Lampard,87,CM,MID,Tier 2 (Elite),England,Icons,https://example.com/flampard.png,,,,,,,,,,,,,,
